config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec,control,mrmc_relation_uses,mrmc_maximin_selections,mrmc_random_selections,mrmc_terminal_memory_peak,mrmc_persistent_guidance_uses,mrmc_sparse_guidance_uses,mrmc_working_memory_peak,mrmc_evidence_observed,mrmc_working_additions,mrmc_working_promotions
RMC-NoTrajectoryEvidence,1,1,20,3,3239354781,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399942,235.761,no_trajectory_evidence,223,224,1,208,218,1,0,0,0,0
RMC-NoTrajectoryEvidence,1,1,20,4,409577597,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399946,229.197,no_trajectory_evidence,239,240,1,227,238,1,0,0,0,0
RMC-NoTrajectoryEvidence,1,1,20,5,1950732293,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399950,224.105,no_trajectory_evidence,234,235,1,222,229,1,0,0,0,0
RMC-NoTrajectoryEvidence,1,1,20,6,2403006679,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399937,212.773,no_trajectory_evidence,206,207,1,194,205,1,0,0,0,0
RMC-NoTrajectoryEvidence,1,1,20,7,4201903172,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399928,218.321,no_trajectory_evidence,260,262,1,248,258,2,0,0,0,0
RMC-NoTrajectoryEvidence,1,1,20,8,559768992,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399934,210.105,no_trajectory_evidence,196,197,1,182,190,1,0,0,0,0
RMC-NoTrajectoryEvidence,1,1,20,9,2092010971,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399941,232.93,no_trajectory_evidence,227,228,1,214,221,1,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,1,2087795920,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399950,176.243,no_trajectory_evidence,61,66,1,12,43,5,0,0,0,0
RMC-NoTrajectoryEvidence,1,1,20,10,2958819918,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399943,211.819,no_trajectory_evidence,212,213,1,198,207,1,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,2,4027479527,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399935,175.364,no_trajectory_evidence,50,67,1,17,62,17,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,3,3248997195,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399958,175.396,no_trajectory_evidence,60,75,1,21,64,15,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,4,149845851,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399945,167.234,no_trajectory_evidence,59,64,1,9,39,5,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,5,2548412932,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399933,179.153,no_trajectory_evidence,76,84,1,26,74,8,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,6,2704015161,1.0,0.45,0.6206896551724138,0.5353448275862069,1.0,9,399925,176.676,no_trajectory_evidence,106,107,1,57,83,1,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,7,1716497545,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399936,163.962,no_trajectory_evidence,55,65,1,10,62,10,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,8,4147807468,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399943,177.355,no_trajectory_evidence,81,90,1,37,82,9,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,10,2307588622,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399942,166.853,no_trajectory_evidence,58,71,1,19,45,13,0,0,0,0
RMC-NoTrajectoryEvidence,6,1,20,9,1353101125,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399928,174.598,no_trajectory_evidence,60,73,1,18,68,13,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,1,3041133044,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399938,121.716,no_trajectory_evidence,94,95,1,65,92,1,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,2,3080307965,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399940,113.524,no_trajectory_evidence,47,61,1,28,59,14,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,3,1544670583,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399945,120.604,no_trajectory_evidence,50,67,1,35,65,17,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,4,253359342,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399947,122.417,no_trajectory_evidence,106,109,1,80,108,3,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,5,3875162692,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399934,136.736,no_trajectory_evidence,84,92,1,62,91,8,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,6,279444466,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399950,133.189,no_trajectory_evidence,118,121,1,95,117,3,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,7,4176439215,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399948,122.326,no_trajectory_evidence,107,109,1,79,108,2,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,8,3310611219,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399948,114.663,no_trajectory_evidence,55,66,1,34,64,11,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,9,3625317039,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399958,118.188,no_trajectory_evidence,80,87,1,57,86,7,0,0,0,0
RMC-NoTrajectoryEvidence,10,1,20,10,3149227647,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399953,119.306,no_trajectory_evidence,93,95,1,66,90,2,0,0,0,0
RMC-NoTrajectoryEvidence,14,1,20,1,1021354410,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399973,107.561,no_trajectory_evidence,34,49,1,15,45,15,0,0,0,0
RMC-NoTrajectoryEvidence,14,1,20,2,2289296825,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399967,114.619,no_trajectory_evidence,27,47,1,20,37,20,0,0,0,0
RMC-NoTrajectoryEvidence,14,1,20,3,1098493118,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,3,399969,115.892,no_trajectory_evidence,41,44,1,3,14,3,0,0,0,0
