pid,config,n,rpr_mean,rpr_sd,f1_mean,f1_sd,used_eval_mean
1,RMC-CMSA,10,0.66,0.02108185106778917,0.7950089126559716,0.01503162286473378,399938.1
1,RMC-NoMaximin,10,0.58,0.08881941729649485,0.7301509720864559,0.07972178421862193,399935.2
1,RMC-NoRelations,10,0.6450000000000001,0.04377975178854563,0.7834008970156978,0.03315230092781835,399936.6
1,RMC-NoTerminalMemory,10,0.6450000000000001,0.015811388300841913,0.7840909090909092,0.011978324470334834,399939.0
1,RMC-NoTrajectoryEvidence,10,0.675,0.035355339059327355,0.8054812834224598,0.025738268046383548,399939.0
6,RMC-CMSA,10,0.255,0.0864420165325996,0.3994173298521125,0.11263439636733003,399944.9
6,RMC-NoMaximin,10,0.25,0.08819171036881968,0.39231805231805233,0.12112550116270064,399941.4
6,RMC-NoRelations,10,0.2899999999999999,0.05676462121975467,0.44694342694342704,0.06748655375576178,399940.2
6,RMC-NoTerminalMemory,10,0.25999999999999995,0.09944289260117534,0.4030670135017962,0.13619364148892618,399943.4
6,RMC-NoTrajectoryEvidence,10,0.29000000000000004,0.0875595035770913,0.44326554671382257,0.1040707604073902,399939.5
10,RMC-CMSA,10,0.53,0.08232726023485645,0.6894957983193277,0.0685998153164152,399939.1
10,RMC-NoMaximin,10,0.59,0.11005049346146117,0.7365546218487394,0.08977725774686596,399943.1
10,RMC-NoRelations,10,0.47000000000000003,0.06749485577105527,0.636904761904762,0.061795283739672295,399936.6
10,RMC-NoTerminalMemory,10,0.5200000000000001,0.10327955589886444,0.678781512605042,0.08893346049819834,399940.6
10,RMC-NoTrajectoryEvidence,10,0.42000000000000004,0.04216370213557838,0.5904761904761905,0.0401559067957889,399946.1
14,RMC-CMSA,10,0.16,0.051639777949432225,0.27272727272727276,0.07824208780217004,399972.2
14,RMC-NoMaximin,10,0.17,0.0483045891539648,0.2878787878787878,0.0731887714454012,399971.9
14,RMC-NoRelations,10,0.21000000000000002,0.031622776601683784,0.34615384615384615,0.040542021284209986,399961.0
14,RMC-NoTerminalMemory,10,0.17,0.0483045891539648,0.2878787878787879,0.0731887714454012,399967.2
14,RMC-NoTrajectoryEvidence,10,0.23000000000000004,0.04830458915396478,0.3717948717948718,0.061928960453801016,399965.4
