dimension,paired_seeds,total_candidates_per_condition,relation_clipped_candidate_fraction_mean,relation_clipped_candidate_fraction_ci_low,relation_clipped_candidate_fraction_ci_high,relation_clipped_candidate_fraction_median,relation_clipped_coordinate_fraction_mean,relation_clipped_coordinate_fraction_ci_low,relation_clipped_coordinate_fraction_ci_high,relation_clipped_coordinate_fraction_median,uniform_distance_contrast_mean_mean,uniform_distance_contrast_mean_ci_low,uniform_distance_contrast_mean_ci_high,uniform_distance_contrast_mean_median,uniform_clearance_cv_mean,uniform_clearance_cv_ci_low,uniform_clearance_cv_ci_high,uniform_clearance_cv_median,combined_clearance_cv_mean,combined_clearance_cv_ci_low,combined_clearance_cv_ci_high,combined_clearance_cv_median,uniform_selected_clearance_over_sqrt_d_mean,uniform_selected_clearance_over_sqrt_d_ci_low,uniform_selected_clearance_over_sqrt_d_ci_high,uniform_selected_clearance_over_sqrt_d_median,combined_selected_clearance_over_sqrt_d_mean,combined_selected_clearance_over_sqrt_d_ci_low,combined_selected_clearance_over_sqrt_d_ci_high,combined_selected_clearance_over_sqrt_d_median,paired_clearance_difference_over_sqrt_d_mean,paired_clearance_difference_over_sqrt_d_ci_low,paired_clearance_difference_over_sqrt_d_ci_high,paired_clearance_difference_over_sqrt_d_median,combined_selected_relation_mean,combined_selected_relation_ci_low,combined_selected_relation_ci_high,combined_selected_relation_median,combined_selected_on_boundary_mean,combined_selected_on_boundary_ci_low,combined_selected_on_boundary_ci_high,combined_selected_on_boundary_median,mean_relation_edge_length_over_sqrt_d_mean,mean_relation_edge_length_over_sqrt_d_ci_low,mean_relation_edge_length_over_sqrt_d_ci_high,mean_relation_edge_length_over_sqrt_d_median,relation_edges_mean,relation_edges_ci_low,relation_edges_ci_high,relation_edges_median,uniform_propose_seconds_mean,uniform_propose_seconds_ci_low,uniform_propose_seconds_ci_high,uniform_propose_seconds_median,combined_propose_seconds_mean,combined_propose_seconds_ci_low,combined_propose_seconds_ci_high,combined_propose_seconds_median
2,20,8,0.2,0.1101679229627781,0.2898320770372219,0.25,0.10625,0.058703965936029556,0.15379603406397044,0.125,1.4787436839421086,1.4332386837697069,1.5242486841145104,1.474724625761218,0.5233132027618307,0.45126995734890574,0.5953564481747556,0.5194954153818709,0.5498481502091218,0.4704173777846319,0.6292789226336117,0.5575813904068956,0.173206420103803,0.15260076648482188,0.1938120737227841,0.16544111460579364,0.1562465249809955,0.13791064481152995,0.17458240515046106,0.14849208959633942,-0.01695989512280751,-0.034108455978993146,0.0001886657333781301,0.0,0.15,-0.021455930469837847,0.32145593046983784,0.0,0.1,-0.044051794835243074,0.24405179483524309,0.0,0.107329411228909,0.10214979086395155,0.11250903159386645,0.10736154394914177,10.95,10.563617626955892,11.336382373044106,11.0,5.6084997777361425e-05,4.810185858669098e-05,6.406813696803187e-05,5.264999344944954e-05,0.00014869500300846995,0.00014154203447388933,0.00015584797154305057,0.00015254999743774533
5,20,50,0.608,0.5627107836333602,0.6532892163666397,0.6,0.16400000000000003,0.1504458564213747,0.17755414357862537,0.16,0.9080149281899412,0.893365414038861,0.9226644423410214,0.9091754119242719,0.28278696718146484,0.2651834667844486,0.3003904675784811,0.2797454587861433,0.3064938361414883,0.28504642428404525,0.3279412479989313,0.30106224216881905,0.345999087314571,0.3310283840097878,0.36096979061935425,0.34627591980655237,0.327562494295081,0.31097348608503944,0.34415150250512255,0.3211454675977935,-0.018436593019490095,-0.03049906381155968,-0.006374122227420509,0.0,0.15,-0.021455930469837847,0.32145593046983784,0.0,0.15,-0.021455930469837847,0.32145593046983784,0.0,0.21783731123367148,0.20884582402398338,0.22682879844335957,0.21221091665286054,11.45,10.982601807680668,11.91739819231933,12.0,6.920500018168241e-05,6.265071688419567e-05,7.575928347916915e-05,6.925000343471766e-05,0.00017661500023677946,0.00015815453115714467,0.00019507546931641425,0.0001672000071266666
10,20,200,0.9115,0.8839046904764136,0.9390953095235863,0.93,0.21389999999999998,0.20049131310133286,0.2273086868986671,0.2225,0.6297413424528238,0.6215985962611295,0.6378840886445181,0.6271981492441585,0.1733634299535384,0.1690195248039513,0.1777073351031255,0.1754872681365836,0.19591036410699053,0.1882005209073612,0.20362020730661987,0.19402285287960352,0.39273398785842273,0.3842462940645446,0.4012216816523009,0.3947272750362816,0.3784353144604139,0.37043637162549653,0.38643425729533126,0.38002889773615933,-0.014298673398008915,-0.02309110540309912,-0.00550624139291871,-0.0075411090206163635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27675706024729074,0.270248440870158,0.2832656796244235,0.2762228307196025,12.1,11.598685036253787,12.601314963746212,12.0,0.0001332349973381497,0.0001230374537663323,0.0001434325409099671,0.0001331999956164509,0.00024650499690324066,0.00023715242961967425,0.00025585756418680704,0.0002449000021442771
20,20,800,0.9981250000000002,0.9972048865837494,0.9990451134162509,0.9975,0.251525,0.2432060088482647,0.2598439911517353,0.24675,0.4358562833838211,0.43021411834539813,0.44149844842224406,0.4332785542573667,0.10736999636595304,0.10563447423253502,0.10910551849937106,0.10777045073269809,0.15017027822967216,0.14444256256353843,0.1558979938958059,0.1506769804717546,0.4076981615243566,0.4027503379065121,0.41264598514220113,0.4075775475893585,0.40335410562956947,0.39713350966152533,0.4095747015976136,0.40339316132256464,-0.004344055894787156,-0.006830171506297627,-0.0018579402832766849,-0.0016709327741462352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3206661344594006,0.3154098492452615,0.32592241967353974,0.3206164424026593,12.0,11.570520525956724,12.429479474043276,12.0,0.0012807299965061248,0.0012629893865301336,0.001298470606482116,0.001279199990676716,0.0016899700058274902,0.001359953348359229,0.0020199866632957513,0.0014789499982725829
50,20,5000,1.0,1.0,1.0,1.0,0.27562719999999996,0.2707503140824131,0.2805040859175868,0.275668,0.27304389893028597,0.2698552810931705,0.27623251676740146,0.27418923610881774,0.061276747754530035,0.06060608188516345,0.06194741362389662,0.061438317179995386,0.13308164744755638,0.1302846722532583,0.13587862264185446,0.13255991169281267,0.41938178024372463,0.4164790967557227,0.42228446373172657,0.41965478271367573,0.4148672961483211,0.41216838532623373,0.4175662069704084,0.4133767328159298,-0.004514484095403537,-0.00691183248882174,-0.002117135701985334,-0.002945090495732023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507256941221521,0.3468173711062371,0.3546340171380671,0.3508242273986443,12.15,11.640134420289144,12.659865579710857,12.0,0.019360554996819702,0.018509302597085015,0.02021180739655439,0.018630500009749085,0.021858095003699417,0.02059453874313634,0.023121651264262494,0.021440500000608154
100,20,20000,1.0,1.0,1.0,1.0,0.29279374999999996,0.28926173084639356,0.29632576915360637,0.2928715,0.19389423251836344,0.19114536853366762,0.19664309650305925,0.1925513563740709,0.04103611860098061,0.04071613788206746,0.04135609931989376,0.041061052610815774,0.12833363177072984,0.12679217355624595,0.12987508998521374,0.12738984044845542,0.42090761538190263,0.41899965580028886,0.4228155749635164,0.41994590539014315,0.4189806138501465,0.4172749487945365,0.4206862789057565,0.41877262579802343,-0.0019270015317560851,-0.0032035030581082217,-0.0006505000054039486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3705184005808437,0.36770289021895747,0.3733339109427299,0.37028637003797116,12.4,11.844159972477676,12.955840027522324,12.0,0.15867865499312755,0.1514484011112102,0.16590890887504492,0.15998039998521563,0.180378914999892,0.16841446462041673,0.19234336537936728,0.18145890001324005
