dimension,seed,representatives,total_candidates_per_condition,relation_candidates,shared_uniform_candidates,relation_clipped_candidate_fraction,relation_clipped_coordinate_fraction,uniform_distance_contrast_mean,uniform_clearance_cv,combined_clearance_cv,uniform_selected_clearance_over_sqrt_d,combined_selected_clearance_over_sqrt_d,paired_clearance_difference_over_sqrt_d,combined_selected_relation,combined_selected_on_boundary,mean_relation_edge_length_over_sqrt_d,relation_edges,uniform_propose_seconds,combined_propose_seconds
2,0,16,8,4,4,0.25,0.125,1.4155989586508362,0.5545140580922612,0.6831661604962377,0.15246969061807686,0.14225205389231876,-0.010217636725758077,0,0,0.10539253673238749,11,4.129999433644116e-05,0.00013589998707175255
2,1,16,8,4,4,0.25,0.25,1.3673319215102238,0.5721147918841725,0.7345850619303281,0.1877884331318125,0.1877884331318125,0.0,0,0,0.1101479912454255,10,8.479997632093728e-05,0.00015639999764971435
2,2,16,8,4,4,0.0,0.0,1.3805536681265915,0.3050002054366378,0.5586543465816121,0.15025115324530425,0.15025115324530425,0.0,0,0,0.12086469630146786,11,4.140002420172095e-05,0.00016160000814124942
2,3,16,8,4,4,0.0,0.0,1.4201974672398479,0.3669385817217958,0.21520079169276227,0.13319797175959955,0.11808851429127652,-0.015109457468323017,0,0,0.11253567954766915,12,6.050002411939204e-05,0.00013169998419471085
2,4,16,8,4,4,0.25,0.125,1.5884795791243018,0.4211614613938902,0.40684323845433096,0.11741006258675747,0.11741006258675747,0.0,0,0,0.12296204916512905,11,4.230000195093453e-05,0.00015360000543296337
2,5,16,8,4,4,0.5,0.25,1.6068960797636849,0.5084262328938851,0.45669295260526516,0.13152381039866007,0.13152381039866007,0.0,0,0,0.10719842942625347,10,7.199999527074397e-05,0.00013760000001639128
2,6,16,8,4,4,0.0,0.0,1.508296601131993,0.1936458384761709,0.5590350376425782,0.12113368781750587,0.11135189420297355,-0.00978179361453232,0,0,0.10752465847203005,11,4.119999357499182e-05,0.00015969999367371202
2,7,16,8,4,4,0.0,0.0,1.420841280272107,0.457547208759691,0.26133006889124144,0.12873668099144606,0.12873668099144606,0.0,0,0,0.10676862929229328,10,9.82999918051064e-05,0.00013460000627674162
2,8,16,8,4,4,0.25,0.125,1.609161854181783,0.8217109102185881,0.6240202053291042,0.21905220436396458,0.1988328117273652,-0.020219392636599366,0,0,0.10144231469955642,12,4.4899992644786835e-05,0.00019039999460801482
2,9,16,8,4,4,0.5,0.25,1.5958160362638305,0.5105155397537965,0.6912169208609283,0.14961754959706416,0.11710461107867362,-0.03251293851839054,1,1,0.12060631360086516,11,7.6299998909235e-05,0.00015659999917261302
2,10,16,8,4,4,0.5,0.25,1.4706034088585522,0.5284752910099454,0.6148065355877673,0.18417558536826428,0.18417558536826428,0.0,0,0,0.10435638370191518,11,4.290000651963055e-05,0.00015310000162571669
2,11,16,8,4,4,0.0,0.0,1.4789252967076205,0.7102771933307214,0.8742685687323862,0.23284073050394258,0.23284073050394258,0.0,0,0,0.07998500085506242,11,6.0399994254112244e-05,0.0001309000072069466
2,12,16,8,4,4,0.5,0.25,1.3376171999646465,0.5436630899175526,0.5454479327999132,0.1824143494768009,0.1780957112821721,-0.0043186381946288014,1,1,0.11113269035495217,12,3.989998367615044e-05,0.0001537000061944127
2,13,16,8,4,4,0.0,0.0,1.5670533545635497,0.5955144686886304,0.41439831935769716,0.16445558551179443,0.10541984245606677,-0.05903574305572765,0,0,0.08847772096452805,11,6.130000110715628e-05,0.00013349999790079892
2,14,16,8,4,4,0.25,0.125,1.280418819402358,0.41627617424124175,0.5565084342321792,0.16642664369979282,0.16642664369979282,0.0,0,0,0.10784157504019885,11,4.069998976774514e-05,0.00015199999324977398
2,15,16,8,4,4,0.25,0.125,1.519555748916749,0.6295424622282186,0.4827649615001329,0.251701523320881,0.11870415839140708,-0.13299736492947392,0,0,0.10620789738926535,12,6.0999998822808266e-05,0.00013500000932253897
